modality,sample_id,timestamp,language,is_scam,scam_type,scam_stage,requested_action,sensitive_info_requested,severity,has_url,has_upi,has_otp,has_qr,has_phone,has_threat,has_urgency,text
SMS,SMS0055,2025-04-19 09:44:37,English,1,Telecom/Utility / KYC Scam,Lure,Call number,,3,0,0,0,0,1,0,0,TRAI verification pending. Confirm details by calling +91-98728-31517.
SMS,SMS0045,2025-04-17 01:13:05,Hinglish,1,Delivery/Courier / Customs Scam,Action request,Click link,,3,1,0,0,0,0,0,0,Address incomplete. Reschedule delivery: https://rebrand.ly/GdfOiZ6 Jaldi karo.
SMS,SMS0024,2025-10-09 05:09:51,Hinglish,1,Tech Support / Remote Access Scam,Action request,Install remote-support app,,4,1,0,0,0,0,0,0,PhonePe Security: Malware detected. Install Remote Assist from https://cybercrime-case.in/rlgzusgnux for cleanup.
SMS,SMS0039,2025-05-31 17:52:45,English,1,Loan/Investment Scam,Payment/Transfer,Click link,,3,1,0,0,0,0,0,0,Pre-approved loan ₹9900. Activate by paying processing ₹199 at https://tinyurl.com/eL2ZL5L
SMS,SMS0100,2025-11-06 23:24:25,English,0,Legitimate: Personal Chat,No action (info only),No action (info only),,1,0,0,0,0,0,0,0,"Hi, I’ll reach by 7:00 PM. See you soon."
SMS,SMS0017,2025-09-14 06:59:18,Hinglish,1,Tech Support / Remote Access Scam,Lure,Click link,,3,0,0,0,0,0,0,1,Device warranty expiring today. Verify at Jaldi karo.
SMS,SMS0088,2025-06-21 15:21:52,Hinglish,0,Legitimate: Service Notification,No action (info only),Visit official app/website,,1,1,0,0,0,0,0,1,URGENT: Jio password change hua. Agar aapne nahi kiya to reset: https://amazon.in/32tr8hd851
SMS,SMS0022,2025-04-16 22:44:18,English,1,Tech Support / Remote Access Scam,Action request,Install remote-support app,,4,1,0,0,0,0,0,1,Apple Security: Malware detected. Install QuickSupport from https://verify-now.co/nwfcot79ky for cleanup.
SMS,SMS0053,2025-05-17 22:46:23,Hinglish,1,Telecom/Utility / KYC Scam,Escalation/Threat,Click link,,4,1,0,0,0,0,1,1,BESCOM: Bill overdue ₹7500. Power cut in 2 hours. Pay at https://bit.ly/effIp1B Jaldi karo.
SMS,SMS0074,2025-10-06 02:28:01,English,1,Marketplace / Refund / UPI Scam,Action request,Share OTP,OTP,4,0,0,1,0,0,0,0,"OLX: Buyer sent payment. To receive ₹50000, share OTP."
SMS,SMS0041,2025-12-12 16:19:02,English,1,Delivery/Courier / Customs Scam,Action request,Click link,,3,1,0,0,0,0,0,0,Address incomplete. Reschedule delivery: https://t.co/8Kjuhfj
SMS,SMS0002,2025-11-10 03:19:51,Hinglish,1,Bank/KYC Fraud,Action request,Share ID docs,Aadhaar,4,0,0,0,0,1,0,0,KYC update required. Share PAN/Aadhaar photo on WhatsApp number +91-87823-43618. Jaldi karo.
SMS,SMS0010,2025-08-16 13:31:02,English,1,Lottery/Prize Scam,Payment/Transfer,Pay via UPI,,4,0,1,0,0,0,0,0,Prize release requires processing fee ₹99. Pay via UPI lkjxcu@ibl.
SMS,SMS0025,2025-07-28 12:17:28,English,1,Job Offer Scam,Action request,Share ID docs,Aadhaar,3,0,0,0,0,1,0,0,HR: Selected. Share Aadhaar/PAN for verification. WhatsApp +91-85788-12996
SMS,SMS0001,2025-09-01 20:38:38,English,1,Bank/KYC Fraud,Action request,Click link,OTP,4,1,0,0,0,0,0,1,"Dear customer, your card will be blocked today. Verify details at https://rebrand.ly/CqmeGMJ"
SMS,SMS0030,2025-11-19 02:07:30,English,1,Job Offer Scam,Lure,Click link,,3,1,0,0,0,0,0,0,Earn ₹200000/day. Join VIP group using https://bit.ly/kOSwD7D
SMS,SMS0073,2025-09-27 20:43:25,English,1,Marketplace / Refund / UPI Scam,Action request,Click link,Bank credentials,3,1,0,0,0,0,0,0,Refund pending. Confirm bank details at https://gpay-help.in/9g1m143k0d
SMS,SMS0004,2025-05-03 15:36:39,Hinglish,1,Bank/KYC Fraud,Action request,Click link,OTP,4,1,0,0,0,0,0,1,"Dear customer, your card will be blocked today. Verify details at https://cutt.ly/I7f8PVU"
SMS,SMS0083,2025-09-28 19:37:19,Hinglish,0,Legitimate: Service Notification,No action (info only),Visit official app/website,,1,1,0,0,0,0,0,0,BESCOM: Bill ₹100000 due 20-Dec. Official app ya https://airtel.in/eaqfvhb18n se pay karo.
SMS,SMS0033,2025-02-18 18:32:19,Hinglish,1,Loan/Investment Scam,Payment/Transfer,Click link,,3,1,0,0,0,0,0,0,Pre-approved loan ₹199. Activate by paying processing ₹499 at https://tinyurl.com/akCIjEl
SMS,SMS0095,2025-05-01 12:49:32,English,0,Legitimate: Service Notification,No action (info only),Visit official app/website,,1,1,0,0,0,0,0,0,BESCOM: Bill of ₹5000 due on 15-Jun. Pay via official app or https://icicibank.com/shzssaj386
SMS,SMS0015,2025-12-25 07:23:17,English,1,Lottery/Prize Scam,Lure,Call number,,3,0,0,0,0,1,0,0,Congrats! You won ₹999 in Mega Bumper Draw. Claim: Call +91-95302-36343 Ref Y0JL23.
SMS,SMS0092,2025-02-07 08:25:14,English,0,Legitimate: Delivery Update,No action (info only),Visit official app/website,,1,1,0,0,0,0,0,0,Delhivery: Delivery attempt failed. Reschedule at https://cutt.ly/X1nVtFv
SMS,SMS0021,2025-08-31 09:44:44,English,1,Tech Support / Remote Access Scam,Lure,Call number,,3,0,0,0,0,1,0,1,Your email hacked. Call technician +91-62430-09408 now.
SMS,SMS0026,2025-11-25 14:22:55,Hinglish,1,Job Offer Scam,Payment/Transfer,Click link,,3,0,0,0,0,0,0,0,Work-from-home job ₹349/month. Pay training fee ₹999. Details:
SMS,SMS0027,2025-10-18 16:48:19,English,1,Job Offer Scam,Action request,Share ID docs,Aadhaar,3,0,0,0,0,1,0,0,HR: Selected. Share Aadhaar/PAN for verification. WhatsApp +91-64705-05638
SMS,SMS0062,2025-02-07 01:45:55,Hinglish,1,Government/Authority Impersonation (incl. Digital Arrest),Escalation/Threat,Call number,,5,0,0,0,0,1,0,1,Court notice: Settlement required today. Call karo +91-86854-63467 abhi.
SMS,SMS0070,2025-08-14 16:43:15,English,1,Family/Friend Impersonation,Payment/Transfer,Pay via UPI,,4,0,1,0,0,0,0,1,It's me. Network issue. Please transfer now. nmejlq@ibl
SMS,SMS0046,2025-05-12 21:28:21,English,1,Delivery/Courier / Customs Scam,Payment/Transfer,Click link,,4,1,0,0,0,0,0,1,Delhivery: Parcel held at customs. Pay clearance ₹499 at https://secure-kyc-update.in/r7bio32jqw within 30 minutes.
SMS,SMS0060,2025-03-04 16:08:02,English,1,Government/Authority Impersonation (incl. Digital Arrest),Escalation/Threat,Click link,Aadhaar,5,1,0,0,0,0,1,1,This is TRAI. FIR filing in process. Verify identity at https://pay-safe.link/a9yncyn7pc within 2 hours.
SMS,SMS0059,2025-06-03 09:18:23,Hinglish,1,Government/Authority Impersonation (incl. Digital Arrest),Escalation/Threat,Call number,,5,0,0,0,0,1,0,1,Court notice: Settlement required today. Call karo +91-79829-88364 abhi. Jaldi karo.
SMS,SMS0019,2025-02-26 00:53:13,Hinglish,1,Tech Support / Remote Access Scam,Lure,Click link,,3,1,0,0,0,0,0,1,Device warranty expiring today. Verify at https://t.co/Gp7mOAb
SMS,SMS0003,2025-05-28 03:04:26,English,1,Bank/KYC Fraud,Action request,Click link,KYC documents/photo,4,1,0,0,0,0,1,1,ALERT: Axis KYC pending. Update now to avoid account freeze: https://verify-now.co/2cakxgydfx
SMS,SMS0047,2025-02-16 14:50:57,English,1,Delivery/Courier / Customs Scam,Action request,Click link,,3,0,0,0,0,0,0,0,Address incomplete. Reschedule delivery:
SMS,SMS0052,2025-06-07 05:05:01,English,1,Telecom/Utility / KYC Scam,Lure,Call number,,3,0,0,0,0,1,0,0,TRAI verification pending. Confirm details by calling +91-62537-75981.
SMS,SMS0023,2025-03-07 00:14:24,English,1,Tech Support / Remote Access Scam,Lure,Click link,,3,1,0,0,0,0,0,1,Device warranty expiring today. Verify at https://rebrand.ly/WPjWyDN
SMS,SMS0061,2025-07-10 03:25:32,English,1,Government/Authority Impersonation (incl. Digital Arrest),Payment/Transfer,Pay via UPI,,5,0,0,0,0,0,1,0,You are under 'digital arrest'. Stay on line and transfer ₹1500 to verify innocence.
SMS,SMS0099,2025-09-17 22:51:19,English,0,Legitimate: Delivery Update,No action (info only),Visit official app/website,,1,1,0,0,0,0,0,0,Blue Dart: Delivery attempt failed. Reschedule at https://rebrand.ly/1ZvdUq3
SMS,SMS0036,2025-10-22 09:11:08,English,1,Loan/Investment Scam,Action request,Share OTP,OTP,4,0,0,1,0,0,0,0,Instant loan. Confirm OTP to proceed.
SMS,SMS0090,2025-04-16 16:34:54,English,0,Legitimate: Appointment Reminder,No action (info only),Visit official app/website,,1,0,0,0,0,0,0,0,Reminder: Appointment with Dr. Mehta on 03-Nov at 7:00 PM.
SMS,SMS0056,2025-08-06 23:57:51,English,1,Telecom/Utility / KYC Scam,Action request,Click link,PAN,4,1,0,0,0,0,0,1,Vi: SIM will be deactivated today due to KYC pending. Update: https://verify-now.co/c2dnrnhr7x
SMS,SMS0040,2025-10-25 04:17:59,English,1,Loan/Investment Scam,Lure,Click link,,3,1,0,0,0,0,0,0,Double money in 30 days. Join investment group: https://customs-clearance.in/duwz0eia0x
SMS,SMS0071,2025-04-26 10:39:00,English,1,Family/Friend Impersonation,Payment/Transfer,Pay via UPI,,5,0,1,0,0,0,0,0,"Hi Mom, new number. Emergency. Send ₹1500 to UPI hsmoyl@okicici. Don't call."
SMS,SMS0032,2025-05-30 01:11:47,English,1,Job Offer Scam,Payment/Transfer,Click link,,3,0,0,0,0,0,0,0,Work-from-home job ₹499/month. Pay training fee ₹199. Details:
SMS,SMS0016,2025-02-11 06:07:45,English,1,Lottery/Prize Scam,Action request,Click link,PAN,3,1,0,0,0,0,0,0,Winner selected. Verify details at https://t.co/6RGkhif to claim.
SMS,SMS0049,2025-10-30 10:47:21,English,1,Telecom/Utility / KYC Scam,Action request,Share OTP,OTP,4,0,0,1,0,0,0,0,Your SIM re-verification failed. Share OTP to re-activate.
SMS,SMS0006,2025-08-13 21:35:42,English,1,Bank/KYC Fraud,Action request,Click link,KYC documents/photo,4,1,0,0,0,0,1,1,ALERT: Axis KYC pending. Update now to avoid account freeze: https://bank-kycverify.com/jgawlakird
SMS,SMS0086,2025-02-01 12:38:39,English,0,Legitimate: Personal Chat,No action (info only),No action (info only),,1,0,0,0,0,0,0,0,"Hi, I’ll reach by 10:00 AM. See you soon."
SMS,SMS0005,2025-05-29 01:38:49,Hinglish,1,Bank/KYC Fraud,Lure,Call number,,3,0,0,0,0,1,0,0,Kotak: Suspicious UPI collect request detected. Call karo +91-73712-16251 to confirm.
SMS,SMS0009,2025-12-16 17:15:56,English,1,Lottery/Prize Scam,Payment/Transfer,Pay via UPI,,4,0,1,0,0,0,0,0,Prize release requires processing fee ₹49. Pay via UPI acfqnq@ybl.
SMS,SMS0091,2025-02-18 17:38:17,Hinglish,0,Legitimate: Delivery Update,No action (info only),Visit official app/website,,1,1,0,0,0,0,0,0,DTDC: Delivery attempt fail. Reschedule: https://tinyurl.com/Sch1vZ7
SMS,SMS0042,2025-05-26 21:02:46,Hinglish,1,Delivery/Courier / Customs Scam,Action request,Click link,,3,1,0,0,0,0,0,0,Address incomplete. Reschedule delivery: https://t.co/pvs9lRV
SMS,SMS0028,2025-12-15 02:44:45,English,1,Job Offer Scam,Lure,Click link,,3,1,0,0,0,0,0,0,Earn ₹100000/day. Join VIP group using https://bit.ly/kgBZy9V
SMS,SMS0034,2025-06-05 11:51:53,English,1,Loan/Investment Scam,Lure,Click link,,3,1,0,0,0,0,0,0,Double money in 30 days. Join investment group: https://track-parcel.in/v56hqa5bxc
SMS,SMS0058,2025-05-07 03:21:37,English,1,Government/Authority Impersonation (incl. Digital Arrest),Payment/Transfer,Pay via UPI,,5,0,0,0,0,0,1,0,You are under 'digital arrest'. Stay on line and transfer ₹349 to verify innocence.
SMS,SMS0043,2025-06-14 17:28:02,Hinglish,1,Delivery/Courier / Customs Scam,Payment/Transfer,Click link,,4,1,0,0,0,0,0,1,FedEx: Parcel held at customs. Pay clearance ₹299 at https://track-parcel.in/60xdclthxq within 30 minutes.
SMS,SMS0037,2025-11-26 15:43:12,Hinglish,1,Loan/Investment Scam,Action request,Share OTP,OTP,4,0,0,1,0,0,0,0,Instant loan. Confirm OTP to proceed.
SMS,SMS0078,2025-09-25 22:31:57,English,1,Marketplace / Refund / UPI Scam,Action request,Click link,Bank credentials,3,1,0,0,0,0,0,1,Refund pending. Confirm bank details at https://verify-now.co/wgx4282h7a
SMS,SMS0079,2025-12-10 14:30:19,English,1,Marketplace / Refund / UPI Scam,Action request,Share OTP,OTP,4,0,0,1,0,0,0,0,"Quikr: Buyer sent payment. To receive ₹499, share OTP."
SMS,SMS0096,2025-03-20 09:11:12,English,0,Legitimate: Personal Chat,No action (info only),No action (info only),,1,0,0,0,0,0,0,0,"Hi, I’ll reach by 7:00 PM. See you soon."
SMS,SMS0076,2025-07-28 13:12:50,English,1,Marketplace / Refund / UPI Scam,Payment/Transfer,Scan QR / approve collect request,UPI PIN,4,1,0,0,1,0,0,0,"To accept payment, scan QR from https://t.co/Vx5jPrv and approve collect request."
SMS,SMS0063,2025-03-18 17:18:17,English,1,Government/Authority Impersonation (incl. Digital Arrest),Escalation/Threat,Call number,,5,0,0,0,0,1,0,1,Court notice: Settlement required today. Call +91-95488-37668 immediately.
SMS,SMS0066,2025-03-25 18:04:03,English,1,Family/Friend Impersonation,Payment/Transfer,Pay via UPI,,5,0,1,0,0,0,0,0,"Hi Mom, new number. Emergency. Send ₹9900 to UPI fzfvji@okhdfc. Don't call."
SMS,SMS0084,2025-09-28 23:09:33,English,0,Legitimate: Service Notification,No action (info only),Visit official app/website,,1,1,0,0,0,0,0,1,"URGENT: Your Amazon password was changed. If not you, reset at https://airtel.in/i021vwsy89"
SMS,SMS0012,2025-11-17 15:08:57,Hinglish,1,Lottery/Prize Scam,Lure,Call number,,3,0,0,0,0,1,0,0,Congrats! You won ₹100000 in Festival Lucky Draw. Claim: Call karo +91-99193-53748 Ref 0YBMHY. Jaldi karo.
SMS,SMS0093,2025-05-06 02:30:55,English,0,Legitimate: Delivery Update,No action (info only),Visit official app/website,,1,1,0,0,0,0,0,1,Delhivery: Out for delivery today. Track: https://airtel.in/4192ie6d28
SMS,SMS0050,2025-06-06 18:22:14,Hinglish,1,Telecom/Utility / KYC Scam,Action request,Share OTP,OTP,4,0,0,1,0,0,0,0,Your SIM re-verification failed. Share OTP to re-activate.
SMS,SMS0013,2025-11-14 18:17:35,English,1,Lottery/Prize Scam,Lure,Call number,,3,0,0,0,0,1,0,0,Congrats! You won ₹2500 in KBC. Claim: Call +91-79106-31737 Ref U9ZW74.
SMS,SMS0072,2025-03-10 21:06:31,English,1,Family/Friend Impersonation,Payment/Transfer,Pay via UPI,,5,0,1,0,0,0,0,0,"Hi Mom, new number. Emergency. Send ₹200000 to UPI dqpmhy@oksbi. Don't call."
SMS,SMS0067,2025-08-12 03:41:02,Hinglish,1,Family/Friend Impersonation,Payment/Transfer,Pay via UPI,,4,0,1,0,0,0,0,1,It's me. Network issue. Please transfer now. ytvwsl@okicici
SMS,SMS0080,2025-11-12 22:19:07,English,1,Marketplace / Refund / UPI Scam,Action request,Share OTP,OTP,4,0,0,1,0,0,0,0,"OLX: Buyer sent payment. To receive ₹50000, share OTP."
SMS,SMS0069,2025-10-23 18:54:56,English,1,Family/Friend Impersonation,Payment/Transfer,Pay via UPI,,5,0,1,0,0,0,0,0,"Hi Mom, new number. Emergency. Send ₹9900 to UPI aabppj@oksbi. Don't call."
SMS,SMS0094,2025-10-16 16:21:35,English,0,Legitimate: Personal Chat,No action (info only),No action (info only),,1,0,0,0,0,0,0,0,"Hi, I’ll reach by 2:30 PM. See you soon."
SMS,SMS0082,2025-09-07 00:18:20,English,0,Legitimate: Bank Alert,No action (info only),No action (info only),,1,0,0,0,0,0,0,0,HDFC: Rs.50000 debited from A/C XX8082 on 10-Nov. Avl bal: Rs.45000.
WhatsApp,WA0055,2025-11-25 06:33:34,English,1,Telecom/Utility / KYC Scam,Action request,Click link,PAN,4,1,0,1,0,0,0,1,"Scammer: Jio: SIM deactivation today due to KYC pending.
Senior: But my SIM is active.
Scammer: System check. Update now.
Scammer: BWSSB: electricity bill overdue. Pay now to avoid disconnection: https://bit.ly/Yqbyhjc
Senior: Ok send link.
Scammer: Here: https://bank-kycverify.com/4g41ouuxs6. After update, share OTP."
WhatsApp,WA0042,2025-02-11 04:39:21,English,1,Delivery/Courier / Customs Scam,Payment/Transfer,Click link,,4,1,0,0,0,0,0,1,"Scammer: FedEx: Your parcel is held at customs. 🙏
Senior: I didn't order anything.
Scammer: It might be a gift. Clearance pending.
Senior: Send tracking ID and I'll check on official site.
Scammer: Tracking YJSFF0. Pay ₹99 via https://cutt.ly/9uJfPlx now, else return."
WhatsApp,WA0024,2025-08-14 21:10:26,English,1,Tech Support / Remote Access Scam,Action request,Install remote-support app,,4,1,0,0,0,0,0,0,"Scammer: Microsoft Support: malware detected on your phone. 🙏
Senior: My phone is working fine.
Scammer: It will stop soon. Install Remote Assist so I can remove it.
Scammer: Download: https://track-parcel.in/osqoj9qe4s
Senior: Why should I install? Can't you guide me without an app?
Scammer: No. Without remote access we can't fix."
WhatsApp,WA0039,2025-11-14 19:25:13,Hinglish,1,Loan/Investment Scam,Payment/Transfer,Pay via UPI,,3,1,1,0,0,0,0,1,"Scammer: Pre-approved loan ₹200000 ready. No documents. 🙏
Senior: I did not apply.
Scammer: Special scheme. Activate by paying ₹999 fee.
Scammer: Pay at https://cutt.ly/caaadRL or UPI agkrtr@ibl.
Senior: I'll visit branch.
Scammer: Offer ends today. Online only."
WhatsApp,WA0089,2025-12-21 03:31:55,Hinglish,0,Legitimate: Personal Chat,No action (info only),No action (info only),,1,0,0,0,0,0,0,0,"Friend: Are we meeting at 6 PM?
Senior: Yes, see you at the park.
Friend: Great, I’ll be there."
WhatsApp,WA0017,2025-03-25 17:10:28,English,1,Tech Support / Remote Access Scam,Action request,Install remote-support app,,4,1,0,0,0,0,0,1,"Scammer: Apple Support: malware detected on your phone.
Senior: My phone is working fine.
Scammer: It will stop soon. Install Remote Assist so I can remove it.
Scammer: Download: https://pay-safe.link/e68qtsm5id
Senior: Ok, installed.
Scammer: Now share the 9-digit code shown on screen."
WhatsApp,WA0092,2025-10-16 11:21:32,English,0,Legitimate: Subscription/Receipt,No action (info only),No action (info only),,1,0,0,0,0,0,0,0,"Service: Your Netflix subscription renewed. Receipt: CWD3FB
Senior: Thanks."
WhatsApp,WA0022,2025-09-17 16:09:27,English,1,Tech Support / Remote Access Scam,Action request,Install remote-support app,,4,1,0,0,0,0,0,1,"Scammer: Microsoft Support: malware detected on your phone.
Senior: My phone is working fine.
Scammer: It will stop soon. Install AnyDesk so I can remove it.
Scammer: Download: https://verify-now.co/wbfb7nzal6
Senior: Why should I install? Can't you guide me without an app?
Scammer: No. Without remote access we can't fix."
WhatsApp,WA0053,2025-12-05 00:35:04,English,1,Telecom/Utility / KYC Scam,Action request,Share OTP,OTP,4,1,0,0,0,0,0,1,"Scammer: Vi: SIM deactivation today due to KYC pending. 🙏
Senior: But my SIM is active.
Scammer: System check. Update now.
Senior: I will use the official app.
Scammer: No time. Use https://customs-clearance.in/ip2y3gmnrj to update within 2 hours."
WhatsApp,WA0074,2025-08-29 05:35:52,English,1,Marketplace / Refund / UPI Scam,Action request,Scan QR / approve collect request,OTP,4,1,0,1,1,0,0,1,"Scammer: Facebook Marketplace buyer here. I'll pay ₹25000 now.
Senior: Ok.
Scammer: You will get an OTP—tell me to confirm payment.
Senior: OTP is for paying, not receiving.
Scammer: No sir, this is for receiving. Trust me.
Scammer: Also scan QR here: https://tinyurl.com/9wmiRox"
WhatsApp,WA0043,2025-11-09 20:54:08,Hinglish,1,Delivery/Courier / Customs Scam,Payment/Transfer,Click link,,4,1,0,0,0,0,0,1,"Scammer: FedEx: Your parcel is held at customs. 🙏
Senior: I didn't order anything.
Scammer: It might be a gift. Clearance pending.
Senior: Send tracking ID and I'll check on official site.
Scammer: Tracking EOVPXZ. Pay ₹49 via https://rebrand.ly/qz5F5jw now, else return."
WhatsApp,WA0006,2025-11-07 01:46:00,English,1,Bank/KYC Fraud,Action request,Click link,OTP,5,1,0,1,0,0,1,1,"Scammer: Hello, Canara KYC desk here. Your account will freeze today.
Senior: I don't think banks message on WhatsApp.
Scammer: We are on official WhatsApp support. Quick verification only.
Senior: Ok what should I do?
Scammer: Share OTP and PAN photo. Or verify at https://customs-clearance.in/cjdfmsxbly."
WhatsApp,WA0010,2025-08-05 02:46:45,English,1,Lottery/Prize Scam,Lure,Pay via UPI,,4,0,1,0,0,0,0,0,"Scammer: Congratulations! You won ₹50000 in New Year Bonanza! 🙏
Senior: I never participated.
Scammer: Auto-selected from mobile number.
Scammer: To claim, pay ₹199 processing fee to UPI ahuuua@okhdfc."
WhatsApp,WA0030,2025-04-05 22:59:58,English,1,Job Offer Scam,Lure,Click link,,3,1,0,0,0,0,0,0,"Scammer: HR: Part-time work-from-home job available. 🙏
Senior: I'm retired.
Scammer: Easy task. Earn ₹999/day. Register at https://rebrand.ly/scllBiW.
Senior: No fees, right?
Scammer: Small refundable fee ₹499 for ID verification."
WhatsApp,WA0008,2025-06-11 00:27:57,English,1,Bank/KYC Fraud,Action request,Share OTP,OTP,5,1,0,1,0,0,1,1,"Scammer: Hello, Axis KYC desk here. Your account will freeze today.
Senior: I don't think banks message on WhatsApp.
Scammer: We are on official WhatsApp support. Quick verification only.
Senior: I will call the bank from the number on my passbook.
Scammer: No ma'am, transaction is in process. If delayed, money will be lost.
Scammer: Share OTP now or open https://t.co/tgaY9MX to stop it."
